Timestamp,Load_avg_1min, Load_avg_5min, Load_avg_15min
22:04:43,0,0,0.03
22:04:53,0,0,0.03
22:05:03,0,0,0.02
22:05:13,0.15,0.03,0.04
22:05:23,0.2,0.05,0.04
22:05:33,0.33,0.08,0.05
22:05:43,0.28,0.08,0.05
22:05:53,0.23,0.07,0.05
22:06:03,0.2,0.07,0.05
22:06:13,0.17,0.07,0.05
22:06:23,0.14,0.07,0.05
22:06:33,0.12,0.06,0.05
22:06:43,0.1,0.06,0.04
22:06:53,0.08,0.06,0.04
22:07:03,0.07,0.06,0.04
22:07:13,0.06,0.05,0.04
22:07:23,0.05,0.05,0.04
22:07:33,0.2,0.08,0.05
22:07:43,0.24,0.1,0.06
22:07:53,0.2,0.09,0.06
22:08:03,0.17,0.09,0.05
22:08:13,0.14,0.09,0.05
22:08:23,0.12,0.08,0.05
22:08:33,0.1,0.08,0.05
22:08:43,0.09,0.08,0.05
22:08:53,0.07,0.07,0.05
22:09:03,0.06,0.07,0.05
22:09:13,0.05,0.07,0.05
22:09:23,0.04,0.06,0.05
22:09:33,0.04,0.06,0.05
22:09:43,0.03,0.06,0.04
22:09:53,0.11,0.07,0.05
22:10:03,0.09,0.07,0.05
22:10:13,0.07,0.07,0.05
22:10:23,0.06,0.06,0.05
22:10:33,0.05,0.06,0.05
22:10:43,0.04,0.06,0.04
22:10:53,0.04,0.06,0.04
22:11:03,0.03,0.05,0.04
22:11:13,0.03,0.05,0.04
22:11:23,0.02,0.05,0.04
22:11:33,0.02,0.05,0.04
22:11:43,0.01,0.05,0.04
22:11:53,0.01,0.04,0.04
22:12:03,0.01,0.04,0.04
22:12:13,0.01,0.04,0.04
22:12:23,0.01,0.04,0.03
22:12:33,0,0.04,0.03
22:12:43,0,0.04,0.03
22:12:53,0,0.03,0.03
22:13:03,0.16,0.07,0.04
22:13:13,0.29,0.1,0.05
22:13:23,0.24,0.09,0.05
22:13:33,0.2,0.09,0.05
22:13:43,0.17,0.09,0.05
22:13:53,0.15,0.08,0.05
22:14:03,0.12,0.08,0.05
22:14:13,0.1,0.08,0.05
22:14:23,0.09,0.07,0.05
22:14:33,0.07,0.07,0.05
22:14:43,0.06,0.07,0.04
22:14:54,0.05,0.06,0.04
22:15:04,0.04,0.06,0.04
22:15:14,0.04,0.06,0.04
22:15:24,0.03,0.06,0.04
22:15:34,0.02,0.05,0.04
22:15:44,0.02,0.05,0.04
22:15:54,0.02,0.05,0.04
22:16:04,0.01,0.05,0.04
22:16:14,0.01,0.05,0.04
