hostname, cpu1min, cpu5min, cpu15min
localhost,03:06:03 PM, 0.17,  0.11,  0.10
192.168.119.58,03:06:04 PM, 0.00,  0.01,  0.05
192.168.119.252,03:06:05 PM, 0.09,  0.05,  0.05
192.168.119.58,03:06:15 PM, 0.00,  0.01,  0.05
localhost,03:06:13 PM, 0.15,  0.10,  0.09
192.168.119.252,03:06:16 PM, 0.08,  0.04,  0.05
192.168.119.252,03:06:26 PM, 0.06,  0.04,  0.05
192.168.119.58,03:06:25 PM, 0.00,  0.01,  0.05
localhost,03:06:23 PM, 0.12,  0.10,  0.09
192.168.119.58,03:06:36 PM, 0.00,  0.01,  0.05
192.168.119.252,03:06:37 PM, 0.05,  0.04,  0.05
localhost,03:06:33 PM, 0.18,  0.11,  0.10
192.168.119.58,03:06:46 PM, 0.00,  0.01,  0.05
192.168.119.252,03:06:47 PM, 0.05,  0.04,  0.05
localhost,03:06:43 PM, 0.15,  0.11,  0.09
